Quais as despesas com profissionais da educação básica com o Fundeb?,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Despesas com profissionais da Educação básica ,"98.076.696,85","153.634.392,07","252.676.776,70","359.745.148,78","373.896.099,12","499.907.224,55","383.636.558,01","584.647.267,64","431.869.735,92","592.339.239,03","683.476.173,17","637.004.121,50","619.722.241,17","747.589.203,98","707.453.159,00","816.003.914,51","948.303.275,12","1.219.550.601,82"
% aplicado com profissionais da Educação Básica,"84,20","70,54","80,45","80,43","80,70","83,79","61,99","91,06","67,19","90,55","91,95","73,87","64,05","73,71","78,41","70,15","70,23","75,67"
