Ano,Cota-parte FPE,Cota-parte IPI-Exp,Cota-parte IOF-Ouro,"Compensação financeiras proveniente e impostos e transferências constitucionais (ICMS desoneração Lei 87/96, outros)",TOTAL_RECEITAS_TRANSFERENCIAS
2007,"1.659.776.618,39","917.982,76","231,83","4.411.631,20","1.665.106.464,18"
2008,"2.029.237.391,54","1.007.370,59","197,53","4.411.631,27","2.034.656.590,93"
2009,"1.955.779.826,58","819.820,49","728,98","4.411.631,28","1.961.012.007,33"
2010,"2.107.984.137,31","1.276.439,03","140,78","4.411.631,28","2.113.672.348,40"
2011,"2.596.631.622,60","1.433.315,57","46,82","4.411.631,28","2.602.476.616,27"
2012,"2.677.349.611,87","956.254,02","344,87","4.411.631,28","2.682.717.842,04"
2013,"2.879.357.913,39","851.368,05","1.380,64","4.411.631,27","2.884.622.293,35"
2014,"3.137.669.034,53","985.876,72","24.461,23","4.411.631,28","3.143.091.003,76"
2015,"3.300.777.033,01","1.094.070,22","2.303,01","4.411.631,27","3.306.285.037,51"
2016,"3.772.743.801,42","1.006.944,37","617,35","4.411.631,28","3.778.162.994,42"
2017,"3.596.026.513,79","1.219.684,94","517,96","4.411.631,28","3.601.658.347,97"
2018,"3.859.293.087,14","1.473.251,20","0,00","4.321.136,28","3.865.087.474,62"
2019,"4.221.669.675,35","1.349.684,80","1.741,72","0,00","4.223.021.101,87"
2020,"4.027.070.833,88","1.065.495,09","199.914,30","0,00","4.028.336.243,27"
2021,"5.457.862.054,23","1.540.347,09","738.088,60","0,00","5.460.140.489,92"
2022,"6.777.083.804,91","1.375.671,33","389,55","14.323.501,15","6.792.783.366,94"
2023,"6.982.045.863,17","1.629.237,05","145,14","296.300.000,00","7.279.975.245,36"
